Name,Latitude,Longitude,GHI (w/m2),Temperature(c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
Annetta South town,32.674221,-97.648201,661,,38.43064117,54.04657998,223.7186737,2.50688076
Annetta town,32.695675,-97.659115,586,,36.40949249,58.04645583,230.6904602,2.508714199
Annona town,33.581811,-94.913079,450,,38.82113266,65.04564241,236.4668274,2.330823898
Anson city,32.754933,-99.896237,267,,45.23361969,74.1909375,239.3133392,2.064781666
Anthony town,31.987541,-106.593282,70,,49.72751617,84.77711425,233.5505066,2.175105095
Anton city,33.811319,-102.162173,100,,49.6179924,82.94401806,275.2458496,3.460800171
Appleby city,31.717028,-94.60777,297,,42.79441833,72.53763055,285.4257813,2.842875242
Aquilla city,31.854755,-97.220006,472,,35.92863846,63.6684684,299.8557129,2.458062172
Aransas Pass city,27.889421,-97.11168,597,,29.78689957,57.07674348,314.1855164,2.325103283
Archer City city,33.593764,-98.625702,660,,25.88184738,53.62109631,319.160614,2.114202023
Arcola city,29.502742,-95.466367,653,,24.2760582,53.91346617,321.0723877,1.881152153
Argyle city,33.110581,-97.186223,579,,24.61670876,57.89677131,324.9837646,1.765705347
Arlington city,32.699837,-97.12509,445,,27.07627678,64.8897298,328.8394775,1.835056067
Arp city,32.227901,-95.053624,264,,34.29366684,74.03520042,342.2218018,2.207957268
Arroyo Colorado Estates,26.186392,-97.611446,70,,42.41946411,84.62459736,4.155029297,2.606640339
Arroyo Gardens,26.205176,-97.502103,96,,86.533638,82.94778723,47.0124054,3.523966789
Asherton city,28.446118,-99.760322,289,,72.90065765,72.5196028,49.12821198,4.487481117
Aspermont town,33.140507,-100.225333,350,,56.97299957,63.62270739,50.15298462,5.529589653
Atascocita,29.97829,-95.194514,586,,45.38074112,56.99802083,50.07976532,6.047367096
Athens city,32.205209,-95.834857,650,,40.12496948,53.50845897,49.51431274,6.219847679
Atlanta city,33.113585,-94.167244,508,,39.46716309,53.77346726,49.02141571,6.182072639
Aubrey city,33.303821,-96.983862,574,,41.40579224,57.74108208,48.44171143,6.018373966
Aurora city,33.055943,-97.509615,310,,44.8174057,64.72888417,45.99547958,5.768973827
Austin city,30.306861,-97.755477,155,,49.39583206,73.87554272,43.8893013,5.422477722
Austwell city,28.3911,-96.84372,56,,53.62616348,84.46896943,42.5380249,4.902957439
Avery town,33.552165,-94.780226,38,,49.97471237,82.94585112,212.7945404,1.886927485
Avinger town,32.898007,-94.553267,116,,46.78416824,72.49536688,221.5744629,2.096200466
Azle city,32.895414,-97.537909,150,,44.10915375,63.57022055,229.083252,2.258981943
B and E,26.356531,-98.753675,284,,41.98085022,56.91216136,235.0179138,2.42261219
Bacliff,29.507725,-94.987862,256,,40.63058472,53.38859701,238.571167,2.547603607
Bailey city,33.433622,-96.165093,319,,40.42257309,53.62667917,240.1570435,2.581317425
Bailey's Prairie village,29.152409,-95.497749,521,,41.46266937,57.57951329,239.7654877,2.602775335
Baird city,32.396024,-99.396225,336,,44.2513237,64.5632629,237.7773743,2.661511898
Balch Springs city,32.719345,-96.615147,202,,50.91215897,73.71216597,234.2575226,2.667235851
Balcones Heights city,29.489916,-98.550246,52,,58.26081467,84.31058674,225.1109161,2.915332079
Ballinger city,31.740581,-99.95549,69,,44.67609024,72.464906,54.43682098,4.893961906
Balmorhea city,30.984158,-103.743875,130,,40.51558685,63.51100639,58.28138351,4.59282732
Bandera city,29.725334,-99.074061,151,,39.30993271,56.81917779,59.13111877,4.199211121
Bangs city,31.715936,-99.130346,288,,40.1111145,53.47313938,54.20505142,3.593584061
Banquete,27.800642,-97.797179,92,,55.1245079,82.93818899,49.53681564,5.054587364
Bardwell city,32.267076,-96.695539,192,,39.41025162,53.26153565,57.3947525,3.830996752
Barrera,26.392542,-98.898505,319,,41.52256393,57.41211184,50.90117264,3.467418194
Barrett,29.867095,-95.053704,234,,44.06633377,64.39290939,49.09617615,3.350266457
Barry city,32.099902,-96.637764,142,,48.08423996,73.54508082,49.59489822,3.201520443
Barstow city,31.461545,-103.395503,40,,53.14712524,84.14929206,51.47520447,3.029109955
Bartlett city,30.795065,-97.4324,93,,60.41782379,82.92473339,163.980835,1.669371247
Barton Creek,30.28166,-97.867793,144,,57.93875885,72.42820464,173.4141846,1.735540152
Bartonville town,33.080526,-97.150432,98,,55.6928215,63.44507843,182.8058929,1.756019115
Bastrop city,30.111227,-97.315916,196,,53.7837677,56.71910782,193.9751282,1.747272968
Batesville,28.95519,-99.62378,186,,52.03836441,53.12733547,200.2816162,1.743873119
Bay City city,28.98114,-95.961717,199,,51.41450119,53.31293418,203.0936279,1.77635932
Bayou Vista city,29.325707,-94.938858,441,,56.510849,64.21796793,202.2361298,2.063390255
Bayside town,28.096098,-97.211028,570,,52.67211914,57.23899287,202.7483215,1.874706388
Baytown city,29.75711,-94.967626,154,,63.99977875,73.37446752,197.9015503,2.311912298
Bayview town,26.132896,-97.397302,77,,73.37632751,83.98538405,184.8301239,2.802054167
Beach City city,29.727244,-94.85479,95,,91.65705109,82.90550222,270.6363525,4.026265144
Bear Creek village,30.182557,-97.939981,287,,73.4241333,72.38527593,272.9968262,3.806836128
Beasley city,29.494657,-95.914585,460,,57.55596924,63.37246274,275.1640015,3.957643986
Beaumont city,30.084417,-94.144107,585,,47.40016937,56.61199148,279.0738525,4.171701908
Beckville city,32.243602,-94.456087,650,,41.7267189,52.98605025,280.585907,4.21087265
Bedford city,32.846395,-97.135017,647,,38.89143372,53.14613346,280.5700073,4.10688448
Bedias city,30.779192,-95.946904,577,,37.8754921,57.06024283,280.2100525,4.044996262
Bee Cave city,30.309616,-97.962429,448,,39.25138855,64.03853446,279.4790039,3.939211845
Beeville city,28.405866,-97.7494,272,,45.17538071,73.20041811,280.6157837,3.686362743
Bellaire city,29.703906,-95.462231,80,,51.8646965,83.81891548,281.3352051,3.610591888
Bellevue city,33.633508,-98.016347,73,,84.68222046,82.88042496,17.08018494,2.891935587
Bellmead city,31.602545,-97.089546,214,,71.80365753,72.33608826,31.64019012,3.082001209
Bells town,33.616569,-96.412768,298,,61.90588379,63.29315099,39.88850784,3.258725166
Bellville city,29.947162,-96.25972,205,,56.30941391,56.49784132,41.76152039,3.264216661
Belton city,31.056151,-97.479176,190,,53.73257446,52.83771146,41.34301758,3.236446381
Benavides city,27.598163,-98.409535,151,,52.97792435,52.97278759,40.92951202,3.287094593
Benbrook city,32.676694,-97.462836,131,,54.10496521,56.87592875,41.90073776,3.38890028
Benjamin city,33.583606,-99.792932,127,,57.20559311,63.85468254,41.02090836,3.507005453
Benjamin Perez,26.406028,-98.899653,90,,62.31119537,73.0229948,39.81945419,3.562727451
Berryville town,32.087768,-95.466668,16,,68.43746185,83.64987663,39.40564728,3.412593365
Bertram city,30.742278,-98.057009,15,,73.33808899,82.84948217,76.0058136,1.560823679
Beverly Hills city,31.522476,-97.156157,46,,62.06897354,72.28065806,81.52803802,1.355994463
Bevil Oaks city,30.151715,-94.271119,87,,54.37892532,63.2071844,81.39207458,1.256365538
Big Lake city,31.193406,-101.457891,97,,49.38896561,56.376718,86.01308441,1.167525768
Big Sandy town,32.585986,-95.112721,167,,47.4353447,52.6823977,98.3608551,1.167119503
Big Spring city,32.238714,-101.480158,188,,47.87025833,52.79299671,118.5488586,1.301721573
Big Thicket Lake Estates,30.487389,-94.767885,213,,49.99992752,56.68617619,128.473175,1.448298216
Big Wells city,28.569875,-99.570188,23,,53.9190712,63.66656264,126.6436386,1.563256264
Bigfoot,29.061832,-98.852129,10,,59.93247604,72.84237661,120.636879,1.65162158
Bishop city,27.585138,-97.797689,27,,67.49086761,83.47854185,112.386673,1.795790672
Bishop Hills town,35.261439,-101.951908,32,,80.3121109,82.81273019,81.64065552,1.961471558
Bixby,26.13993,-97.856166,13,,72.24610138,72.21901304,82.4155426,1.755633831
Blackwell city,32.085054,-100.319357,121,,65.89651489,63.1145964,80.22781372,1.528107643
Blanco city,30.097696,-98.42031,155,,61.42955399,56.2486659,79.87895966,1.350454569
Blanket town,31.824839,-98.789479,79,,58.93255997,52.52016588,79.20118713,1.24364233
Blessing,28.87279,-96.217202,165,,57.70621872,52.6068338,75.15685272,1.237392426
Bloomburg town,33.137797,-94.059076,124,,57.94381332,56.49107467,70.8656311,1.249716759
Blooming Grove town,32.092362,-96.717295,170,,60.53017807,63.47427256,62.66685867,1.233775616
Bloomington,28.650419,-96.902195,86,,65.52406311,72.65865538,50.09807968,1.239885807
Blossom city,33.663232,-95.383466,49,,71.89992523,83.30496236,38.68782806,1.360393405
Blue Berry Hill,28.38551,-97.79205,100,,77.0137558,82.77011544,302.2654419,2.5638237
Blue Mound city,32.854438,-97.338285,299,,64.89152527,72.151152,308.560791,2.304620266
Blue Ridge city,33.298304,-96.397715,476,,56.22149658,63.01541262,324.2020264,2.348172665
Bluetown,26.072183,-97.818638,606,,50.54444122,56.11373034,327.7727356,2.32999754
Blum town,32.141917,-97.397168,673,,46.60062027,52.35107845,326.5998535,2.287517548
Boerne city,29.785407,-98.732211,672,,44.19488525,52.41438026,325.6513062,2.271933079
Bogata city,33.469793,-95.213551,603,,43.39833069,56.29072503,327.6371765,2.333509922
Boling,29.258399,-95.943552,342,,44.48269272,63.27792651,333.8955078,2.428258419
Bolivar Peninsula,29.484714,-94.567235,293,,49.67276001,72.47194978,340.7114258,2.367213249
Bonanza Hills,27.794768,-99.469502,94,,56.42133331,83.12925659,341.8979797,2.204682112
Bonham city,33.587944,-96.190296,103,,71.32520294,82.7216418,284.9698181,2.354676485
Bonney village,29.3023,-95.45164,305,,57.65978241,72.07708971,276.981781,2.097215891
Booker town,36.456145,-100.540285,486,,44.4739151,62.90966575,267.666687,1.854938507
Borger city,35.659824,-101.401154,618,,35.08746719,55.97196068,254.7692261,1.834943056
Botines,27.771896,-99.45712,686,,30.05096054,52.17519974,249.9781036,1.941298723
Bovina city,34.515657,-102.884656,685,,27.49036217,52.21571814,250.4592133,1.993083954
Bowie city,33.556668,-97.84401,615,,26.66063881,56.08522794,251.9879456,2.071320057
Box Canyon,29.533512,-101.15861,483,,28.46943092,63.07763637,253.8375549,2.216745853
Boyd town,33.084348,-97.563209,301,,35.24646759,72.2823738,258.1807861,2.282903671
Boys Ranch,35.533189,-102.253684,99,,40.5321312,82.95153631,260.2197571,2.44289875
Brackettville city,29.31809,-100.410901,74,,45.46064377,82.66731822,279.6656189,5.306770325
Brady city,31.132376,-99.371091,232,,38.38729477,71.9968479,283.99823,5.019536018
Brazoria city,29.045483,-95.566841,556,,26.16663551,55.82340696,303.0130005,5.268051624
Brazos Bend city,32.475267,-97.761353,387,,31.47784996,62.79739165,291.5079346,5.014625072
Brazos Country city,29.754739,-96.042274,587,,22.51649857,51.99259447,317.6661377,5.449733734
Breckenridge city,32.756594,-98.912213,541,,20.49660492,52.01092935,335.1038513,5.265931129
Bremond city,31.165709,-96.675975,434,,20.36553383,55.8746825,352.8726501,4.765208721
Brenham city,30.157899,-96.394884,430,,22.67351532,62.87351022,10.38972473,4.259515762
Briar,32.988463,-97.552835,251,,29.28181076,72.0900313,26.51551056,3.922921181
Briarcliff village,30.408785,-98.045178,92,,37.25011063,82.77187476,37.70292282,3.809845448
Briaroaks city,32.49578,-97.303316,106,,45.73830414,82.60712396,218.0867615,2.604853868
Bridge City city,30.031614,-93.839754,312,,37.56288528,71.91044385,217.9083099,2.694067478
Bridgeport city,33.209373,-97.771602,495,,29.27988815,62.67863058,213.9422607,2.977792263
Bristol,32.455037,-96.567212,628,,24.02252769,55.66812605,210.3545685,3.338768005
Broaddus town,31.304974,-94.270039,697,,21.77367592,51.80333366,215.5534973,3.346278429
Bronte town,31.885747,-100.295434,696,,20.75217247,51.80010295,223.0975952,3.207109451
Brookshire city,29.782641,-95.954486,625,,20.79626846,55.65919768,230.2891846,2.962871075
Brookside Village city,29.5907,-95.31816,491,,24.37038422,62.66567049,237.4199066,2.576031685
Browndell city,31.125374,-93.980138,308,,32.34003067,71.89505063,239.5108795,2.186239004
Brownfield city,33.175664,-102.273023,105,,37.30752945,82.59041844,233.0326538,2.135284901
Brownsboro city,32.29842,-95.613042,103,,48.3054657,82.54109081,288.3674316,4.727570057
Brownsville city,25.998138,-97.456657,304,,38.78135681,71.8179111,289.9252319,4.4435215
Brownwood city,31.712463,-98.976541,404,,30.97007942,62.55343074,292.1536865,4.43542099
Bruceville-Eddy city,31.309307,-97.250097,531,,25.61235428,55.50618025,295.0422974,4.599529743
Brundage,28.573965,-99.670131,690,,21.73775673,51.60749303,298.9884033,4.759092331
Bruni,27.428163,-98.832213,691,,19.56694031,51.58333074,303.2300415,4.749629498
Brushy Creek,30.51199,-97.739011,623,,19.0202446,55.43888172,306.947113,4.530073166
Bryan city,30.666569,-96.366382,492,,20.72349548,62.45423377,310.5799255,4.034945488
Bryson city,33.163767,-98.389198,311,,27.14640808,71.69754542,314.3122559,3.382483959
Buchanan Dam,30.7807,-98.439231,107,,33.78629684,82.40726256,314.4609985,2.914512157
Buchanan Lake Village,30.856572,-98.437781,104,,42.92505646,82.46922903,273.572998,4.076514244
Buckholts town,30.873831,-97.128598,305,,36.30772781,71.71928021,285.9273682,3.801118374
Buda city,30.085562,-97.844373,485,,30.39106369,62.42183842,302.1156921,3.85518837
Buena Vista,26.294139,-98.610884,617,,26.34388542,55.33762912,315.8410645,4.04623127
Buffalo city,31.460361,-96.064824,686,,24.30355263,51.40514425,326.4657898,4.036062717
Buffalo Gap town,32.283579,-99.834594,687,,23.32958221,51.36070049,334.7047119,3.91833353
Buffalo Springs village,33.53278,-101.707904,619,,23.06161308,55.21383924,343.0733948,3.726850986
Bullard town,32.145116,-95.319474,488,,24.0907402,62.23931272,350.637207,3.455361366
Bulverde city,29.77233,-98.437311,309,,29.37035561,71.49762449,358.0926514,3.296507835
Buna,30.445771,-93.962464,108,,36.5065918,82.22249883,11.31265259,3.498780489
Bunker Hill Village city,29.764752,-95.531781,5,,70.86585999,82.39150516,84.21650696,2.674148083
Burkburnett city,34.074758,-98.567104,95,,62.16467667,71.61456628,87.66310883,2.805343628
Burke city,31.233787,-94.765912,18,,60.5542717,62.2838937,91.90135193,3.102315664
Burleson city,32.52009,-97.334109,78,,62.85007477,55.16253031,100.4021912,3.288087368
Burnet city,30.750834,-98.237455,374,,64.36607361,51.19636011,108.4675446,3.351339817
Burton city,30.181248,-96.599933,214,,64.62988281,51.13230272,112.031601,3.300686121
Butterfield,31.842565,-106.082214,80,,65.04572296,54.98417877,114.638092,3.133773327
Byers city,34.069593,-98.191247,91,,67.1266861,62.02102478,117.4974213,2.93192625
Bynum town,31.969071,-97.003078,117,,72.23762512,71.29540342,118.2815247,2.732344866
Cactus city,36.044374,-102.008031,25,,79.11432648,82.03623685,110.0499039,2.693169117
Caddo Mills city,33.051705,-96.230065,103,,80.19236755,82.30799478,40.8431015,4.557415962
Caldwell city,30.530693,-96.700635,11,,74.9390564,71.50382768,40.44190216,4.466967106
Callender Lake,32.367527,-95.698355,45,,70.30928802,62.13966365,41.50947952,4.386870384
Callisburg city,33.698711,-97.015918,46,,66.86565399,54.98096089,43.01322556,4.333079338
Calvert city,30.979149,-96.671542,146,,64.43701172,50.98122733,43.28125381,4.327602386
Camargito,26.345219,-98.738798,186,,62.79522324,50.89823854,42.70171356,4.450342655
Cameron city,30.860736,-96.976832,139,,62.7767868,54.75001725,41.31676483,4.623258114
Cameron Park,25.970503,-97.477416,82,,64.74493408,61.79949448,38.55101776,4.77442646
Camp Swift,30.188473,-97.293305,46,,68.9069519,71.09100204,35.11084366,4.865738869
Camp Wood city,29.669047,-100.010865,112,,74.98914337,81.8485802,32.86603546,4.716393948
Campbell city,33.146326,-95.954436,58,,80.81804657,82.21871436,307.7786865,2.850334644
Campo Verde,26.39163,-98.91398,167,,69.17086029,71.38711123,307.619812,2.740088463
Canadian city,35.909678,-100.38388,285,,60.80942917,61.98921161,307.1924744,2.632297039
Caney City town,32.209618,-96.038146,363,,55.13840866,54.79299624,305.3076782,2.581943512
Canton city,32.554083,-95.863944,706,,50.79019165,50.7598329,302.6867981,2.544215679
Cantu Addition,27.201993,-98.155678,711,,47.41238785,50.65861133,301.9799194,2.454451084
Canutillo,31.918463,-106.600573,646,,45.15602493,54.51147652,302.9857788,2.436593056
Canyon city,34.987773,-101.918372,515,,44.14079285,61.57485492,303.0556641,2.670544147
Canyon Creek,32.392695,-97.740516,332,,46.05166626,70.8845586,302.4255371,2.919109821
Canyon Lake,29.876218,-98.261671,123,,50.29330826,81.65968721,297.4962769,3.080655098
Cape Royale,30.653043,-95.126539,85,,65.82299805,82.12370014,305.7478027,3.725566864
Carbon town,32.268405,-98.827196,256,,57.60969543,71.26445884,306.6093445,3.140928268
Carl's Corner town,32.084218,-97.052559,500,,49.01866531,61.83259414,307.1982422,2.794167995
Carlsbad,31.611248,-100.640647,634,,41.24530792,54.59870572,309.8761902,2.69408226
Carmine city,30.14853,-96.690431,705,,36.2934227,50.53225713,315.902771,2.588668585
Carrizo Hill,28.503269,-99.829464,706,,34.45252228,50.41351607,309.1680298,2.464701653
Carrizo Springs city,28.526601,-99.858879,638,,34.22070313,54.2686661,294.9135437,2.457919598
Carrollton city,32.988438,-96.900137,461,,35.3795929,61.34721899,283.5088501,2.46733284
Carthage city,32.152575,-94.336811,256,,40.53738785,70.6761755,274.0020142,2.474293232
Casa Blanca,26.297641,-98.610251,106,,46.51885223,81.46963393,265.7643127,2.61962533
Casas,26.475341,-98.933253,83,,62.5827446,82.02297712,355.9824219,3.405080557
Cashion Community city,34.036429,-98.508225,321,,54.03210449,71.135918,15.56167603,2.717508793
Castle Hills city,29.522843,-98.51971,506,,43.44389343,61.66987384,32.97302246,2.47688508
Castroville city,29.351222,-98.87224,642,,32.53162003,54.39816265,51.14173889,2.731362581
Catarina,28.349852,-99.616061,715,,24.89152336,50.29858289,59.37050629,3.08987093
Cedar Hill city,32.580868,-96.959265,631,,22.02440262,50.16304985,52.24730682,2.752052307
Cedar Park city,30.514096,-97.817068,649,,22.24956322,54.02169796,49.94729233,1.867321968
Cedar Point,30.797535,-95.074909,517,,24.38882065,61.11670294,51.9588356,1.341630936
Celeste city,33.291733,-96.196234,268,,31.57268143,70.46595901,46.5449791,1.286555767
Celina city,33.319306,-96.785593,91,,41.7401886,81.27849472,45.97986221,1.288646221
Center city,31.794368,-94.179303,64,,49.36865997,81.91657623,275.0647888,2.822747231
Centerville city,31.258129,-95.979667,188,,42.14305878,71.00153982,286.3081665,2.119756222
Central Gardens,29.989294,-94.021661,363,,33.76660156,61.50111726,293.8088379,1.630177975
Cesar Chavez,26.310482,-98.114259,480,,27.61139297,54.191445,302.8366089,1.402620077
Chandler city,32.306486,-95.478115,597,,25.02271461,50.05889829,296.3705444,1.248670936
Channelview,29.791367,-95.115024,532,,24.04997253,49.90731576,284.0673828,1.200169563
Channing city,35.681902,-102.332244,519,,24.42176056,53.77069088,278.5526123,1.202579021
Chaparrito,26.340817,-98.735352,111,,28.5067234,60.88343106,284.2688904,1.173334718
Chapeno,26.550879,-99.13388,85,,37.72312546,70.25402882,295.0214233,1.027861834
Charlotte city,28.859069,-98.70048,76,,42.43244934,81.0863893,299.3456421,0.81590569
Chester town,30.921319,-94.600098,113,,50.59392548,81.80452877,294.6591187,3.073881388
Chico city,33.296223,-97.799027,317,,42.69991302,70.86137672,293.6793518,2.653236866
Childress city,34.429347,-100.251633,497,,35.00800323,61.32639304,293.2402954,2.367001057
Chillicothe city,34.255984,-99.514416,629,,28.29784775,53.97863336,295.9335938,2.223996878
Chilton,31.284813,-97.060772,699,,24.79422379,49.81329409,293.9343567,1.999597549
China city,30.052469,-94.333136,700,,24.49424934,49.64641883,292.4987488,1.715925694
China Grove town,29.393001,-98.344702,633,,25.87997818,53.51576541,292.6850281,1.471545339
China Spring,31.649223,-97.304773,504,,28.93210411,60.6475296,294.1509094,1.250472665
Chireno city,31.498948,-94.345855,327,,38.42383194,70.04050423,305.3452148,0.989719629
Christine town,28.786322,-98.497799,126,,47.8944931,80.89341913,338.7428284,0.76258868
Christoval,31.197614,-100.493302,113,,59.78251648,81.68689556,261.5737305,3.277956486
Chula Vista,28.657305,-100.421992,314,,50.12561035,70.71549634,266.5605469,2.725691557
Chula Vista,28.656343,-99.807701,494,,40.5799408,61.14577997,271.0943298,2.421828508
Chula Vista,26.073846,-97.439723,626,,34.05630112,53.75981444,279.7981262,2.324265957
Cibolo city,29.577312,-98.23569,697,,31.55597115,49.56186375,282.5684814,2.103037834
Cienegas Terrace,29.36876,-100.943244,700,,30.92810822,49.38046546,281.456604,1.922310829
Cinco Ranch,29.739358,-95.760926,635,,31.42942429,53.25704117,279.6437378,1.819627285
Circle D-KC Estates,30.161016,-97.234934,507,,33.33265686,60.40911934,280.6012878,1.696128607
Cisco city,32.384807,-98.980506,330,,41.49008179,69.82549541,286.8223877,1.403500795
Citrus City,26.328071,-98.392314,83,,50.47883987,80.6996787,302.625061,0.886452377
Clarendon city,34.936645,-100.891792,115,,64.19319153,81.56368552,27.81844711,3.094546795
Clarksville city,33.610977,-95.056121,233,,51.70825195,70.56394396,34.29336166,3.231924534
Clarksville City city,32.532834,-94.894486,497,,41.92580414,60.95934167,45.21370316,3.737439632
Claude city,35.107481,-101.362843,521,,36.44388199,53.53506353,54.42729187,4.128217697
Clear Lake Shores city,29.545706,-95.032759,593,,33.9282608,49.3046921,58.43031693,4.354534626
Cleburne city,32.353038,-97.406734,587,,32.62022781,49.10955393,59.83571625,4.583783627
Cleveland city,30.339838,-95.099176,633,,32.06409073,52.99462961,60.36289597,4.776008129
Clifton city,31.782257,-97.582424,506,,32.51237106,60.16831182,59.53357315,4.902153015
Clint town,31.590075,-106.228872,232,,34.60961151,69.60909767,58.54415131,4.943523407
Cloverleaf,29.78813,-95.172013,131,,38.87469864,80.50522409,56.70609665,4.944486141
Clute city,29.027267,-95.397227,10,,51.20199966,81.43496172,106.2854233,3.524710178
Clyde city,32.405586,-99.503919,74,,45.76002502,70.40679106,114.9994583,3.626616955
Coahoma town,32.295744,-101.308822,290,,43.18611908,60.76716205,122.3541336,3.792947769
Cockrell Hill city,32.738182,-96.88855,393,,42.16991425,53.3044742,126.445816,4.020046234
Coffee City town,32.138291,-95.487094,350,,41.6875267,49.04188072,129.4473267,4.179001331
Coldspring city,30.589733,-95.130683,254,,42.0095253,48.83380007,135.0355225,4.320894718
Coleman city,31.831604,-99.422309,154,,43.51887894,52.72866248,137.141571,4.537588596
College Station city,30.586762,-96.295796,190,,46.03839874,59.92524521,136.221344,4.756250381
Colleyville city,32.89134,-97.148659,140,,49.94371796,69.39144825,135.5243988,4.774823189
Collinsville town,33.55921,-96.907585,51,,55.291008,80.31020832,133.4466095,4.648692131
Colmesneil city,30.909657,-94.422058,10,,90.47945404,81.30082725,161.7739868,4.519899368
Colorado Acres,27.644906,-99.21439,40,,85.84283447,70.24413165,162.8586731,4.492483139
Colorado City city,32.399487,-100.858304,134,,81.08535767,60.5693402,167.7752075,4.562314987
Columbus city,29.705471,-96.556253,218,,76.8342514,53.06814895,175.3582458,4.417621613
Comanche city,31.900479,-98.604363,326,,72.55622101,48.77353583,182.5869598,4.065185547
Combes town,26.243912,-97.725333,345,,67.56994629,48.55332129,189.2377472,3.65051651
Combine city,32.591012,-96.520249,489,,63.98857117,52.45926997,195.8826904,3.172472239
Comfort,29.971411,-98.903999,421,,63.07070923,59.68005014,206.7743225,2.630364895
Commerce city,33.241997,-95.899858,342,,65.97416687,69.17266542,219.6885223,2.05210948
Como town,33.060026,-95.475618,139,,69.58883667,80.11472951,225.6005096,1.712519169
Concepcion,27.395133,-98.355628,123,,77.56848907,81.16129973,311.0188599,3.763161182
