Name,Latitude,Longitude,GHI (w/m2),Temperature(c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
Casa Colorada,34.553603,-106.742197,613,,37.87335587,57.05502869,25.26127625,1.413833261
Causey village,33.857623,-103.106626,632,,36.13521576,56.0379754,14.95931244,1.169639111
Cedar Crest,35.111326,-106.380246,583,,36.1228981,58.59741158,356.1552734,1.038817644
Cedar Grove,35.167802,-106.161473,472,,45.09064484,64.30325056,338.7621765,0.84053123
Cedar Hill,36.929574,-107.88706,310,,59.70417404,72.40550134,321.3835144,0.593308866
Cedro,35.01816,-106.350696,119,,60.96939468,82.18303831,294.2486572,0.491834641
Chama village,36.892623,-106.584303,22,,66.4015274,88.21541531,58.89578247,3.83589983
Chamberino,32.036372,-106.677629,198,,60.01551819,77.72919613,67.38893127,3.760548592
Chamisal,36.172536,-105.745958,376,,54.21082306,68.58045593,79.9021225,3.945064545
Chamita,36.070633,-106.097447,598,,49.72104645,56.95247138,104.489296,4.149414063
Chamizal,34.218273,-106.915114,515,,50.85084534,61.39907158,94.11611938,4.190402031
Chaparral,32.044233,-106.405896,617,,49.80897903,55.90679262,112.9699097,4.024265289
Chical,34.865902,-106.667196,571,,51.53464508,58.44691092,119.956604,3.832519531
Chili,36.102723,-106.152871,463,,55.50338745,64.14380716,124.9257965,3.583423376
Chilili,34.897374,-106.233133,305,,64.51232147,72.24454216,128.8347473,3.319077969
Chimayo,35.997627,-105.936317,118,,79.3154068,82.02449792,129.8298492,3.270840645
Chupadero,35.814401,-105.919743,22,,79.62306976,88.21328137,255.4003906,1.429836988
Church Rock,35.530937,-108.623326,194,,71.23973083,77.70726007,268.4276428,1.400651693
Cimarron village,36.508675,-104.911452,371,,63.62070465,68.53329731,278.6934204,1.559012651
City of the Sun,31.846824,-107.650144,309,,57.26434708,61.32163092,292.1169739,1.989146709
Clayton town,36.443572,-103.158103,409,,51.91739273,56.84264122,305.3285828,2.275551319
Cliff,32.965958,-108.617594,614,,49.08406067,55.7685751,307.9729614,2.234768391
Cloudcroft village,32.953257,-105.733553,569,,49.19937134,58.2900799,307.4436035,2.073426247
Clovis city,34.437188,-103.191591,462,,55.60857773,63.97901562,301.4390869,1.770281792
Cobre,32.780418,-108.110631,304,,65.42945862,72.079247,284.9978027,1.560765743
Cochiti,35.609455,-106.348599,40,,76.00161743,81.86252627,265.9162903,1.653375149
Cochiti Lake,35.647835,-106.342537,10,,85.65077209,88.20537008,104.8505859,2.980841637
Columbus village,31.82507,-107.639972,91,,74.6297226,77.67910081,109.9162598,2.798710823
Conchas Dam,35.362322,-104.204153,70,,67.19612885,68.47945689,116.0075531,2.540792704
Cordova,36.012737,-105.856656,101,,62.98167038,61.237111,124.5472946,2.24724102
Corona village,34.249999,-105.597082,311,,61.21307755,56.72556336,135.6162567,1.953086019
Corrales village,35.236671,-106.619624,127,,61.98414612,55.62336499,148.4063568,1.726140976
Costilla,36.978644,-105.53527,233,,65.83021545,58.12697792,159.3988647,1.625860929
Cotton City,32.110069,-108.88046,117,,71.32307434,63.80894815,164.8503113,1.616291642
Coyote,36.1616,-106.60672,17,,77.2234726,71.90969037,165.5702667,1.643872499
Crownpoint,35.687995,-108.14939,6,,84.24198151,81.69716464,161.2807312,1.756319046
Cruzville,33.809973,-108.66837,22,,84.5618515,88.19164769,229.7468414,1.335913181
Crystal,36.028047,-108.991102,197,,78.8266983,77.64471865,231.0765381,1.249006748
Cuartelez,35.99283,-106.019661,270,,72.98475647,68.41895958,238.7494965,1.307936668
Cuba village,36.012186,-106.969608,517,,68.06295013,61.14555772,256.4931641,1.439234972
Cubero,35.090332,-107.526378,601,,65.12214661,56.60130178,267.0922852,1.609416246
Cundiyo,35.95631,-105.896985,396,,63.6909256,55.47124483,270.7601318,1.802039266
Cuyamungue,35.864773,-106.009631,236,,64.44477081,57.95770901,269.1851196,1.942885637
Cuyamungue Grant,35.846397,-105.994899,92,,68.26557159,63.63373008,260.8535767,2.01183939
Datil,34.14234,-107.842466,131,,75.79269409,71.73601672,251.0121613,2.068855762
Deming city,32.263189,-107.751375,124,,85.37284088,81.52859774,242.196579,2.288138628
Des Moines village,36.762501,-103.835714,23,,92.66845703,88.17205222,291.9760132,3.180384636
Dexter town,33.195168,-104.368944,19,,85.00521851,77.60408811,293.6793213,3.087666512
Dixon,36.188599,-105.878452,259,,74.55934143,68.3517996,292.2077026,3.227808475
Do_a Ana,32.393943,-106.817712,524,,65.15608978,61.04698405,290.8958435,3.2574296
Dora village,33.932527,-103.336943,455,,59.458004,56.46988746,289.0076904,3.102091789
Dulce,36.939928,-107.004861,340,,55.0512619,57.78234081,286.3599548,2.730229616
Duran,34.463621,-105.380715,288,,55.60622787,63.45344213,287.3197632,2.468231678
Eagle Nest village,36.549487,-105.259387,148,,56.45728683,55.31226396,286.6674194,2.921799421
East Pecos,35.576531,-105.649983,21,,61.16466522,71.55830938,287.4760742,1.995734215
Edgewood town,35.139062,-106.219059,57,,68.57441711,81.35688687,291.3526611,1.524446964
Edith Endave,35.21046,-106.589017,2,,91.43782043,88.14657515,99.63826752,1.218847036
El Cerro,34.78076,-106.695687,22,,88.2675705,77.55720888,122.9736862,1.330088615
El Cerro Mission,34.768735,-106.644601,19,,85.38596344,68.27799382,148.8357544,1.543991327
El Duende,36.073733,-106.126883,24,,84.21517181,60.94142426,172.7875061,1.7882967
El Rancho,35.892757,-106.085622,141,,83.0152359,56.3313714,193.7397919,2.069386959
El Rito,36.338037,-106.184455,281,,79.62130737,55.14649084,208.4845886,2.417075157
El Valle de Arroyo Seco,35.952658,-106.02613,249,,77.00022888,57.60096038,211.8764038,2.584350109
Eldorado at Santa Fe,35.527271,-105.934035,81,,81.3344574,71.37667935,206.1520386,2.063262463
Elephant Butte city,33.181123,-107.226872,18,,77.63070679,63.26818688,211.5561523,2.425998211
Elida town,33.944274,-103.655349,131,,87.36088562,81.18214542,191.2692261,1.892428637
Encinal,35.130736,-107.436734,2,,92.79111481,88.1151757,172.0626221,2.006464481
Encino village,34.651823,-105.458583,24,,90.54296875,77.50408071,172.7950439,2.235530853
Ensenada,36.730925,-106.536813,385,,86.90393066,68.19756534,174.8426514,2.609059811
Escondida,34.101308,-106.897377,316,,83.13180542,60.82891991,178.4103699,2.924305677
Escudilla Bonita,34.112182,-109.023164,211,,79.68104553,54.97399911,189.2649536,3.301553011
Espanola city,36.003973,-106.067568,78,,80.25086212,56.18581074,183.2839661,3.144472837
Estancia town,34.766915,-106.031247,39,,82.27297974,63.07807342,196.5462189,3.21652174
Eunice city,32.442482,-103.191487,25,,80.72920227,57.41366028,192.8239136,3.333719969
Fairacres,32.304726,-106.836636,59,,92.92037201,81.00449822,195.6610413,2.473380327
Farmington city,36.757385,-108.178067,326,,85.96747589,71.19124548,199.4375,2.876016378
Faywood,32.624744,-107.872429,24,,91.55446625,88.07789355,298.7844849,1.111549616
Fence Lake,34.669018,-108.68014,15,,83.98717499,77.44471806,291.4645386,1.05322063
Flora Vista,36.805564,-108.085618,172,,74.4249649,68.11053905,266.1168823,1.130231142
Floyd village,34.22916,-103.551297,162,,68.68959045,60.70951002,254.2192078,1.196041703
Folsom village,36.848289,-103.918601,111,,66.43346405,56.0332596,261.8827515,1.337909222
Fort Sumner village,34.47904,-104.233124,229,,65.14133453,54.79485991,275.8795471,1.557283521
Galisteo,35.395033,-105.956947,134,,64.67559052,57.22053002,289.9725037,1.752347231
Gallina,36.229692,-106.808835,110,,64.98408508,62.88320615,306.1430054,1.879528761
Gallup city,35.51771,-108.747556,86,,67.1936264,71.00211997,325.6487427,1.901453018
Garfield,32.756811,-107.266455,81,,71.11473846,80.82405981,345.7727966,1.980047703
Gila,32.948488,-108.5762,26,,85.64517975,88.03465316,18.06772614,3.465660572
Glen Acres,32.3747,-108.716008,403,,67.92660522,68.01693232,34.29492569,3.394779682
Glenwood,33.318814,-108.88114,551,,60.79362488,60.58323332,42.83033752,3.258320093
Glorieta,35.583963,-105.762878,213,,77.88233948,77.37911149,24.93110657,3.35518527
Golden,35.263708,-106.223224,641,,55.8559494,55.87377457,48.85822678,2.896273136
Grady village,34.821492,-103.315538,665,,51.29869461,54.60914767,55.60729599,2.529561043
Grants city,35.153842,-107.834702,510,,48.01875687,62.68369274,69.641922,2.265655518
Grenville village,36.593066,-103.613416,347,,53.21179581,70.80941465,73.05628967,2.219070435
Hachita,31.91537,-108.325182,151,,60.96316528,80.64093376,75.5375824,2.214731455
Hagerman town,33.114533,-104.328378,619,,48.35250092,57.02166294,63.40434647,2.309271336
Hanover,32.814828,-108.08969,28,,51.4618454,87.98552232,23.93872833,0.869181156
Happy Valley,32.423933,-104.290809,224,,45.09205627,77.30729296,24.99668121,0.452577174
Hatch village,32.664024,-107.164132,418,,33.84218979,67.91678602,18.17825317,0.274386615
Hernandez,36.056689,-106.118534,569,,25.01949883,60.45014247,75.81287384,0.275749534
High Rolls,32.938806,-105.821359,660,,22.84219933,55.70742016,111.7585754,0.220159441
Highland Meadows,34.940151,-107.165348,683,,21.87054825,54.41694094,193.5473633,0.36822772
Hillsboro,32.921829,-107.577171,636,,21.95245171,56.81715427,237.673111,0.726115942
Hobbs city,32.730877,-103.156797,525,,25.82595062,62.47964259,247.8101196,1.146729708
Holloman AFB,32.848268,-106.099773,359,,35.84266281,70.61324741,243.7170715,1.68944931
Homestead,34.148876,-107.881971,158,,44.40403366,80.45524586,241.741272,2.282147408
Hope village,32.815818,-104.735818,27,,52.21512985,87.93043563,333.1201782,4.460410118
Hot Springs Landing,33.204673,-107.209988,215,,44.33034897,77.22926007,338.90271,4.191149235
House village,34.649452,-103.903751,404,,35.36613464,67.810122,345.2588806,4.238926888
Hurley town,32.698231,-108.132127,551,,30.72833443,60.31027727,350.3632202,4.304647446
Indian Hills,34.983176,-106.139751,641,,29.34963036,55.53425249,352.9681396,4.008831024
Isleta Village Proper,34.906584,-106.693518,666,,28.11682129,54.21831275,356.2635193,3.406433582
Jacona,35.888706,-106.038628,622,,27.33233643,56.60709466,3.36315155,2.641631603
Jaconita,35.885631,-106.061111,514,,29.05314827,62.27115857,11.31335449,1.976225257
Jal city,32.115499,-103.189219,352,,37.44632721,70.4137227,17.53948212,1.624729395
Jarales,34.614601,-106.763067,156,,45.58114243,80.26708593,21.23797607,1.4918437
Jemez Pueblo,35.606603,-106.733305,27,,58.31771088,87.86941157,277.6618042,3.020204067
Jemez Springs village,35.773394,-106.690736,126,,49.69278717,77.14503857,284.7811279,2.723142624
Keeler Farm,32.316066,-107.760229,399,,40.72686768,67.69698225,285.5856323,2.651322603
Kingston,32.917334,-107.709559,400,,34.47359848,60.16369604,285.408844,2.826003313
Kirtland,36.74384,-108.351331,635,,31.5130825,55.35434333,287.9872131,2.924980879
La Cienega,35.581033,-106.111207,658,,30.28003502,54.01334969,292.1699219,3.035862923
La Cueva,35.869451,-106.648503,614,,30.19917297,56.39158807,298.661499,3.105568886
La Hacienda,32.205992,-107.725067,507,,32.47440338,62.05835879,307.2401123,3.001755714
La Huerta,32.448911,-104.223084,347,,40.63430405,70.21096507,317.5072021,2.802055359
La Jara,36.105493,-106.941986,155,,50.10953522,80.07658216,327.277832,2.810616016
La Joya,34.344931,-106.846681,28,,54.10514069,87.80246827,319.1461182,2.56073761
La Luz,32.969804,-105.938752,216,,44.7468605,77.0546542,310.826416,2.04681921
La Madera,36.380812,-106.042005,405,,34.37018585,67.57740749,297.831604,1.819032907
La Mesa,32.124401,-106.708983,553,,26.48211098,60.01045314,268.030304,2.231750488
La Mesilla,35.946114,-106.071825,642,,23.17913628,55.16776005,256.7119446,2.680099964
La Plata,36.923211,-108.193229,666,,22.95393562,53.80213392,253.831131,2.88623333
La Puebla,35.988952,-105.998792,622,,23.9068203,56.17073329,253.067276,3.029567719
La Union,31.950754,-106.662143,514,,26.71608925,61.84135394,253.1429749,3.113260269
La Villita,36.100171,-106.0514,352,,35.44192886,70.00508771,252.8873138,3.051243305
Laguna,35.050402,-107.407144,158,,47.92796326,79.88384168,247.1997223,3.07367301
Lake Arthur town,32.999457,-104.364078,30,,58.7367897,87.72959146,351.8312073,3.160328388
Lake Roberts,33.031351,-108.168832,221,,47.29838181,76.95812677,354.2758179,2.563348293
Lake Roberts Heights,33.027077,-108.138148,413,,35.86688995,67.45143715,353.368988,2.101938725
Lake Sumner,34.618595,-104.3799,563,,28.55342865,59.85060363,342.7506104,1.783159494
Lake Valley,36.090057,-108.164156,654,,24.81233406,54.97457146,316.3573303,1.646934032
Lamy,35.485477,-105.88629,677,,22.98521614,53.58474921,287.5580444,1.755287647
Las Cruces city,32.326639,-106.789466,532,,22.58137703,55.94463062,266.4290161,1.957076669
Las Maravillas,34.734028,-106.669014,418,,23.74406815,61.62025562,254.1160736,2.146863937
Las Nutrias,34.469835,-106.770811,274,,31.48139381,69.79620296,245.6242065,2.069197655
Las Palomas,33.058904,-107.298221,121,,42.33161545,79.68896508,235.8155975,1.754890203
Las Vegas city,35.600667,-105.22032,5,,64.45752716,87.65081122,145.3519897,1.172158122
Lee Acres,36.710278,-108.072074,37,,56.06325912,76.8554903,130.0231934,0.987045765
Lemitar,34.155034,-106.912241,187,,51.72612,67.31911968,146.4798126,0.995059848
Livingston Wheeler,32.39444,-104.197949,159,,50.67477417,59.68420958,184.5521851,1.246381521
Llano del Medio,35.188104,-105.11632,466,,51.51356506,54.774851,207.8560028,1.579859138
Loco Hills,32.819669,-103.978353,191,,51.51854324,53.36128248,221.3609619,1.924406767
Logan village,35.357848,-103.445437,417,,50.4536438,55.71338315,232.6785431,2.438450813
Lordsburg city,32.343818,-108.702435,427,,51.57040787,61.39517846,240.3316956,2.882650375
Los Alamos,35.892623,-106.286108,11,,58.27209854,69.58442749,245.7090759,2.684689045
Los Cerrillos,35.427162,-106.121143,11,,69.70194244,79.4920644,255.9926147,2.189432144
Los Chaves,34.733249,-106.763586,5,,76.76790619,87.56605927,61.860672,4.798243523
Los Luceros,36.115109,-106.037082,26,,71.80718994,76.74676031,63.91265869,5.017848492
Los Lunas village,34.808906,-106.763631,106,,66.83479309,67.18049753,65.9853363,5.138973236
Los Ojos,36.736084,-106.566881,283,,62.55600357,59.51133135,67.16880035,5.081955433
Los Ranchos de Albuquerque village,35.162915,-106.648234,346,,59.10480499,54.5686732,66.94776154,4.8720994
Loving village,32.286608,-104.096997,335,,56.98323822,53.13182207,65.71302795,4.587114334
Lovington city,32.945436,-103.350424,105,,56.21459961,55.47709358,64.46838379,4.23366642
Lower Frisco,33.651467,-108.789428,69,,56.82542419,61.16623432,62.52549744,3.854627132
Luis Lopez,33.990467,-106.887768,77,,59.00740814,69.3698714,58.65013123,3.507138252
Lumberton,36.932771,-106.935366,57,,62.32661438,79.29323422,53.80173111,3.168588161
Luna,33.818119,-108.943572,34,,53.47478867,87.47551701,348.2818909,3.412032604
Lyden,36.153669,-106.014661,231,,43.38711929,76.63201978,349.0941467,3.386955023
Madrid,35.40326,-106.153787,425,,37.9987793,67.0356506,351.2185974,3.285811424
Madrone,34.579215,-106.728645,576,,38.11474991,59.33205482,352.9978333,3.08593154
Magdalena village,34.109425,-107.231662,667,,40.72654724,54.35613166,352.4961853,2.978008747
Malaga,32.222744,-104.069157,692,,43.12184906,52.89647473,348.415802,2.993052959
Manzano,34.643693,-106.367053,648,,44.52462006,55.23588733,343.4495239,2.98731184
Manzano Springs,34.96137,-106.232736,539,,45.92322922,60.93356406,342.0291748,2.757833958
Maxwell village,36.541088,-104.543047,376,,51.25343323,69.15268497,342.7970581,2.277193069
Mayhill,32.896164,-105.496011,177,,58.76335907,79.0926409,345.9525757,1.709346056
McCartys Village,35.063572,-107.683498,34,,52.89832306,87.37913652,25.80964661,1.78596282
McIntosh,34.8804,-106.057698,228,,45.38150024,76.51128482,23.48601532,1.550440788
Meadow Lake,34.802358,-106.570148,421,,40.60837173,66.88461867,28.06148148,1.367437005
Melrose village,34.428988,-103.629597,572,,37.21995926,59.14643597,31.56177902,1.192347765
Mescalero,33.144848,-105.789684,665,,34.22583771,54.13729483,21.03700256,0.872785568
Mesilla town,32.269045,-106.814452,692,,31.45185089,52.6553215,359.9069824,0.620440722
Mesita,35.013365,-107.329603,651,,30.05727005,54.98985844,282.2112427,0.848736465
Mesquite,32.166989,-106.688503,544,,31.95845222,60.69726748,289.7714233,1.477950811
Middle Frisco,33.694908,-108.764025,381,,40.31832504,68.9329605,327.4922791,1.95912838
Midway,33.295831,-104.451748,182,,48.92726898,78.89035298,344.7523804,2.010068417
Milan village,35.194977,-107.894672,37,,50.01469421,87.27692916,24.45180511,3.075155735
Mimbres,32.833229,-107.95592,236,,43.79568863,76.38459943,30.49490356,2.551871538
Monterey Park,34.751149,-106.653064,351,,37.02694321,66.72746264,32.09872437,2.368337631
Monument,32.624272,-103.277647,583,,32.11118698,58.95454808,36.67030334,1.94050622
Moquino,35.180057,-107.370137,676,,29.75615311,53.91224582,35.42575455,1.059069991
Mora,35.9633,-105.331161,702,,28.06723022,52.40845738,16.6137085,0.572533846
Moriarty city,35.006469,-106.048299,659,,27.47093201,54.73911638,316.2388611,0.623551846
Morningside,32.861084,-104.397047,551,,30.63147354,60.45746301,278.1501465,0.805914044
Mosquero village,35.774311,-103.954413,387,,40.4994812,68.71081517,255.8484344,0.962845802
Mountain View,32.228907,-107.746229,187,,47.79046631,78.68647677,238.4356384,1.117249608
Mountainair town,34.519765,-106.243181,22,,54.07835388,87.16893962,80.86420441,1.293158293
Nadine,32.623839,-103.106909,184,,47.17295456,76.25201484,78.9484787,1.175575733
Nageezi,36.248802,-107.747102,296,,37.14584351,66.56424706,80.92151642,1.017100334
Nakaibito,35.782623,-108.803889,417,,29.80156898,58.75646784,132.8295441,1.173611641
Nambe,35.898418,-105.966675,515,,28.2196846,53.68107122,167.83255,1.481154203
Napi Headquarters,36.653775,-108.218641,544,,29.46460533,52.15598085,181.7311707,1.633840084
Nara Visa,35.606867,-103.104294,658,,32.73748016,54.48377396,184.1851807,1.536010981
Naschitti,36.062524,-108.68001,346,,41.28160858,60.2142716,175.5598755,1.474972963
Navajo,35.902423,-109.032093,260,,51.28824234,68.48636677,156.0282898,1.65487504
Navajo Dam,36.798146,-107.704429,120,,55.51312637,78.4811195,143.5205536,1.937483907
Nenahnezad,36.735409,-108.425301,36,,65.89403534,87.05520322,254.1295013,1.971834421
Newcomb,36.283425,-108.708181,224,,61.58947754,76.11358368,258.085022,2.077412844
Newkirk,35.063517,-104.271496,413,,57.57019043,66.39503913,257.9622803,2.26597333
Nogal,33.539521,-105.710529,563,,52.43086243,58.55227297,259.0568542,2.273715258
North Acomita Village,35.065935,-107.567393,656,,47.50374222,53.44385789,259.3662109,2.130377531
North Hobbs,32.773087,-103.125041,684,,43.95223618,51.89799118,258.2322693,1.976755619
North Hurley,32.719858,-108.128494,644,,42.34344482,54.22394616,257.3126526,1.822530508
North Light Plant,36.875197,-108.045823,540,,42.81124878,59.96781854,256.7175903,1.717102766
North San Ysidro,35.474642,-105.566045,381,,48.57620239,68.25974085,254.1448059,1.660683393
North Valley,35.173427,-106.623265,186,,59.07927704,78.27439889,242.9880524,1.768759489
Oasis,32.927701,-107.316417,39,,89.40080261,86.93574146,301.1652222,2.806238174
Ohkay Owingeh,36.043925,-106.056504,234,,69.96111298,75.96936098,302.5142822,2.576672554
Ojo Amarillo,36.694138,-108.37036,428,,52.56415176,66.21990937,293.0120544,2.658365011
Organ,32.425081,-106.602409,581,,40.03010941,58.3420456,284.7120361,2.726772785
Orogrande,32.387571,-106.100309,548,,29.14940643,51.63458855,280.7469482,2.649329185
Paguate,35.135594,-107.363995,676,,33.0450592,53.20069626,282.2163086,2.692797184
Pajarito Mesa,34.97947,-106.797939,663,,27.13108444,53.95974509,274.4496155,2.540569782
Paradise Hills,35.198078,-106.702181,556,,26.75190926,59.71822054,267.4765625,2.573986053
Paraje,35.044388,-107.468163,394,,31.68891716,68.0310456,262.2332764,2.570683718
Pastura,34.785108,-104.942118,195,,42.57501221,78.06640445,265.1577148,2.135434389
Pe_a Blanca,35.570918,-106.33196,17,,65.12284088,86.81061542,77.03130341,2.442562103
Pe_asco,36.17032,-105.690732,127,,54.94477844,75.8194036,82.07543945,2.330687046
Peak Place,35.791172,-105.943216,290,,44.83664703,66.03892771,96.56153107,2.419008255
Pecan Park,32.270407,-107.673993,364,,39.39566422,58.12586641,112.562233,2.630951166
Pecos village,35.57546,-105.678665,533,,37.50160217,52.95167496,123.1168976,2.878815174
Peralta town,34.828177,-106.686336,510,,39.38678741,53.69128296,131.0762787,3.461939812
Picuris Pueblo,36.199444,-105.713081,460,,37.55149841,51.36587208,127.7918777,3.175054073
Pie Town,34.339991,-108.170753,32,,59.47247696,77.85723749,133.0965881,3.956319332
Pinehill,35.003075,-108.40819,270,,43.15518951,59.46559607,134.0865936,3.701215506
Pinon,32.618227,-105.386674,124,,49.66683197,67.8003947,136.009613,3.8643682
Pinos Altos,32.86647,-108.222027,12,,91.64226532,86.67985542,130.9986115,3.848918676
Placitas,35.322623,-106.443641,64,,90.45450592,75.66377185,130.105545,3.79774785
Placitas,32.665643,-107.169667,12,,89.62020874,65.85216801,135.1055756,3.838988781
Playas,31.91258,-108.536415,13,,90.19953918,57.90381887,138.9578857,3.752727509
Pleasanton,33.275943,-108.879162,160,,91.6267395,52.69688516,141.6420288,3.581467152
Pojoaque,35.896199,-106.010472,50,,92.42113495,51.09194346,142.3598633,3.397135973
Polvadera,34.202039,-106.917202,178,,93.13200378,53.41867516,141.5588684,3.123330355
Ponderosa,35.655494,-106.654459,16,,94.05888367,59.21006771,140.6289673,2.821811438
Ponderosa Pine,34.972019,-106.336917,7,,93.94024658,67.56790619,140.8755951,2.593719006
Portales city,34.176404,-103.354485,7,,92.20676422,88.83185307,137.9956207,2.454455376
Pueblito,36.072718,-106.081106,94,,92.92510986,77.64700238,139.8890533,2.466350555
Pueblitos,34.610891,-106.781753,4,,97.01383972,86.54357891,201.8699646,2.839944124
Pueblo,35.327275,-105.43531,10,,97.43966675,75.50255605,208.3356323,2.51884985
Pueblo of Sandia Village,35.253738,-106.570575,56,,97.00237274,65.65972624,217.7062683,2.207425356
Pueblo Pintado,35.945271,-107.616082,273,,96.62934875,57.67600538,229.1412048,1.907822609
Puerto de Luna,34.829682,-104.622165,270,,96.42537689,52.43643427,247.1227875,1.71793282
Pulpotio Bareas,32.217891,-107.772816,348,,96.56474304,50.8129189,272.5547485,1.742351532
Quemado,34.341423,-108.506031,309,,95.48405457,53.14205068,295.5846252,1.972543716
Questa village,36.711464,-105.59355,388,,93.05253601,58.95177074,302.1647644,2.28684926
Radium Springs,32.478266,-106.903116,127,,91.52539825,67.33371102,303.3748779,2.534219265
Ramah,35.137548,-108.485905,122,,92.0690918,77.43582334,302.9179077,2.68705225
